EpochTime,DOA,Confidence,Strength
2581,271,12,-665
2805,303,10,-666
20711,111,207,-435
20922,111,205,-417
21299,111,204,-486
21731,80,47,-662
22183,85,39,-660
22645,111,204,-468
23058,111,208,-421
23511,110,206,-454
23924,75,39,-661
24379,78,50,-660
24827,111,211,-522
25272,111,198,-426
25685,112,183,-462
26125,80,31,-662
26567,94,39,-658
26991,78,52,-661
27447,107,174,-403
27855,106,176,-405
28290,106,177,-426
28763,108,180,-428
29170,109,183,-455
29628,81,52,-663
30059,73,54,-659
30491,90,52,-657
30924,109,181,-495
31355,110,185,-446
31795,111,185,-462
32259,115,181,-532
32667,118,184,-483
33135,119,187,-451
33555,121,186,-512
33980,92,54,-660
34420,71,40,-660
34851,127,172,-561
35295,123,180,-488
35730,120,188,-486
36247,102,31,-659
36640,82,34,-660
37039,111,175,-547
37492,109,170,-424
37915,108,160,-423
38351,88,42,-662
38819,88,47,-660
39216,66,56,-659
39679,108,151,-413
40105,106,144,-382
40526,69,36,-661
40983,72,33,-661
41419,77,24,-663
41856,89,181,-352
42288,89,175,-331
42723,89,168,-410
43151,78,47,-660
43608,77,46,-662
44047,72,151,-355
44475,70,146,-306
44896,67,136,-353
45343,73,34,-661
45785,78,35,-660
46215,48,120,-449
46643,45,122,-375
47111,40,118,-419
47535,72,41,-662
47979,95,40,-659
48394,78,48,-655
48836,21,97,-474
49295,18,99,-469
49715,81,37,-660
50151,76,37,-662
50591,84,45,-660
51015,4,119,-510
51475,1,119,-459
51919,359,119,-550
52343,69,31,-659
52768,66,42,-660
53207,353,120,-401
53641,353,120,-371
54080,352,120,-416
54511,84,40,-657
54967,76,27,-661
55391,352,118,-438
55855,352,118,-384
56279,352,118,-398
56722,352,118,-411
57147,352,118,-406
57575,352,117,-394
58015,352,116,-437
58443,81,35,-662
58887,86,32,-662
59339,77,32,-661
59767,353,116,-434
60186,352,116,-390
60627,352,116,-395
61064,352,116,-448
61525,352,116,-395
61957,352,116,-392
62395,75,36,-655
62839,83,50,-662
63271,89,46,-659
63688,352,116,-395
64117,352,119,-363
64571,352,121,-427
65019,72,29,-660
65435,74,32,-661
65897,350,127,-428
66323,350,125,-373
66762,350,124,-420
67215,83,43,-662
67620,69,31,-661
68071,345,117,-495
68496,345,120,-411
68939,345,121,-444
69419,191,34,-661
69803,73,44,-659
70246,65,51,-662
70688,344,116,-468
71119,343,113,-473
71559,86,44,-660
72003,72,48,-660
72443,62,39,-661
72870,347,115,-461
73315,348,113,-448
73755,348,111,-546
74184,86,28,-661
74603,75,49,-659
75072,348,118,-491
75495,348,119,-453
75919,348,119,-497
76372,79,67,-662
76790,84,34,-662
77235,348,115,-543
77671,347,114,-484
78111,347,115,-508
78575,82,47,-660
78987,77,46,-662
79435,348,111,-653
79875,348,117,-487
80303,348,118,-496
80791,84,32,-660
81183,73,50,-661
81604,87,51,-658
82071,348,118,-464
82485,348,118,-453
82915,348,118,-463
83354,347,119,-513
83791,88,51,-659
84252,80,43,-661
84663,64,42,-661
85094,348,111,-534
85538,349,114,-491
85979,349,115,-491
86419,349,115,-534
86841,349,120,-485
87310,349,122,-475
87955,350,122,-565
88405,79,54,-661
88612,72,55,-659
89055,349,119,-473
89483,350,120,-443
89907,351,119,-484
90360,80,39,-659
90779,94,53,-660
91223,350,121,-487
91666,350,122,-415
92103,350,122,-434
92559,77,42,-660
92971,83,38,-659
93396,75,51,-660
93855,356,119,-406
94246,358,119,-417
94732,91,52,-661
95163,94,40,-661
95603,85,46,-662
96051,15,100,-555
96471,20,104,-486
96884,24,110,-599
97343,78,51,-662
97771,84,36,-659
98219,43,107,-376
98651,48,119,-332
99075,52,132,-372
99547,80,29,-658
99967,82,37,-660
100385,72,142,-387
100847,73,148,-330
101267,75,134,-354
101715,72,46,-661
102139,78,42,-660
102577,90,212,-483
103017,87,199,-368
103454,92,131,-389
103888,72,52,-662
104324,69,57,-661
104753,89,38,-663
105220,107,142,-434
105651,108,139,-423
106074,80,32,-660
106535,96,30,-660
106947,66,40,-658
107383,91,135,-371
107824,88,143,-337
108275,87,149,-396
108723,94,45,-662
109139,196,35,-661
109567,79,157,-444
110011,77,149,-394
110434,74,136,-429
110907,93,43,-662
111313,92,53,-659
111746,64,140,-436
112199,64,134,-334
112630,64,123,-356
113076,79,35,-659
113506,86,40,-663
113955,72,52,-659
114377,56,140,-336
114802,55,119,-337
115255,55,113,-395
115695,95,56,-658
116150,88,39,-660
116572,96,43,-661
116995,54,154,-385
117439,54,157,-315
117875,53,149,-334
118311,52,136,-404
118762,50,107,-374
119199,46,93,-372
119618,44,89,-569
120064,69,21,-659
120720,82,48,-663
120973,26,105,-431
121371,23,112,-415
121810,22,115,-480
122247,94,42,-660
122695,78,49,-661
123119,13,104,-577
123554,10,102,-517
124003,7,100,-523
124431,79,58,-657
124870,79,44,-663
125298,353,108,-523
125835,351,110,-397
126168,350,113,-403
126627,79,55,-663
127040,82,32,-659
127491,80,62,-662
127919,350,118,-396
128355,350,119,-381
128805,89,41,-663
129259,94,50,-659
129671,87,28,-661
130102,348,115,-433
130537,347,113,-431
130991,347,110,-505
131437,82,43,-661
131875,71,36,-662
132309,348,117,-469
132752,348,115,-422
133163,349,116,-448
133601,81,49,-658
134048,73,54,-661
134466,350,119,-475
134915,350,119,-383
135351,351,119,-414
135787,72,44,-661
136218,79,35,-659
136651,64,37,-662
137099,350,117,-413
137520,350,116,-420
137962,75,42,-662
138424,108,55,-660
138851,78,60,-662
139271,351,104,-512
139732,351,102,-498
140145,350,105,-583
140595,73,69,-659
141029,76,30,-662
141465,352,115,-430
141903,352,115,-385
142331,352,115,-432
142768,73,34,-658
143227,81,33,-661
143651,351,115,-463
144086,351,116,-376
144527,351,116,-383
144959,351,116,-373
145395,351,117,-390
145822,58,57,-660
146282,78,42,-661
146711,90,43,-663
147148,345,102,-605
147587,345,99,-579
148012,2,144,-551
148465,357,132,-532
148888,354,124,-497
149331,353,123,-449
149783,353,122,-479
150215,76,43,-660
150634,75,32,-660
151089,351,116,-522
151512,351,113,-454
151955,349,108,-514
152395,73,30,-662
152836,86,34,-657
153267,87,37,-658
153707,349,125,-427
154151,349,128,-410
154563,91,51,-658
155003,78,50,-659
155446,83,33,-659
155867,350,113,-394
156330,350,126,-384
156763,349,139,-500
157187,76,41,-661
157634,86,40,-660
158081,349,111,-407
158515,348,115,-376
158932,348,119,-415
159368,64,33,-657
159835,81,57,-660
160253,341,133,-390
160687,340,136,-341
161123,339,140,-362
161572,81,47,-660
162027,90,40,-659
162439,339,144,-498
162879,339,143,-329
