EpochTime,DOA,Confidence,Strength
2545,170,7,-668
3101,295,7,-666
11580,21,28,-655
11867,12,32,-653
12318,5,37,-654
12724,18,36,-655
13187,18,23,-656
13635,9,37,-656
14053,6,45,-652
14519,11,37,-653
14931,13,46,-656
15375,9,25,-655
15815,2,41,-655
16253,6,60,-655
16684,5,21,-651
17139,6,24,-656
17607,19,28,-654
17999,360,31,-657
18430,10,34,-657
18883,12,36,-651
19297,6,32,-654
19759,6,29,-655
20171,9,28,-654
20608,5,32,-655
21087,11,47,-658
21495,21,28,-654
21925,3,42,-655
22375,5,30,-654
22792,3,30,-657
23251,11,37,-654
23665,4,30,-656
24098,4,32,-654
24550,13,30,-656
24992,359,30,-655
25423,12,34,-655
25855,12,38,-654
26296,8,36,-653
26722,4,35,-652
27156,10,46,-654
27615,6,28,-651
28043,12,34,-653
28476,4,33,-650
28915,14,46,-653
29351,9,37,-651
29803,18,39,-654
30231,6,26,-655
30668,22,26,-654
31106,12,34,-654
31590,11,44,-653
31987,12,37,-654
32410,11,38,-654
32843,10,35,-652
33295,5,44,-653
33743,10,26,-650
34175,6,19,-655
34599,18,34,-648
35026,10,46,-654
35479,12,24,-652
35905,1,39,-652
36371,360,33,-654
36787,4,25,-652
37227,8,24,-654
37659,9,9,-654
38095,9,33,-655
38533,358,33,-655
38966,4,34,-655
39397,1,32,-655
39831,6,31,-653
40267,5,33,-654
40719,6,36,-651
41159,8,32,-654
41605,8,49,-653
42042,3,25,-651
42456,9,30,-655
42896,360,44,-655
43337,197,9,-653
43778,7,16,-655
44207,22,33,-653
44639,14,26,-652
45086,13,23,-656
45524,10,43,-654
45955,7,29,-656
46392,11,41,-653
46834,5,37,-652
47262,10,39,-652
47694,10,45,-654
48134,10,38,-654
48587,9,23,-654
49011,9,37,-656
49448,3,50,-656
49896,9,41,-656
50328,4,31,-654
50779,17,31,-654
51194,15,46,-655
51636,14,35,-653
52102,20,38,-653
52513,14,26,-653
52943,5,43,-654
53373,14,35,-654
53824,16,42,-654
54308,15,24,-653
54691,14,36,-656
55135,16,25,-653
55571,18,27,-655
56015,11,37,-653
56452,11,22,-648
56879,14,39,-654
57327,17,27,-653
57763,13,41,-656
58192,14,23,-648
58633,9,37,-656
59070,23,34,-653
59499,18,32,-654
59943,18,23,-651
60371,4,24,-653
60814,16,25,-654
61251,9,41,-651
61678,11,27,-653
62120,15,26,-654
62557,16,29,-653
63005,13,29,-652
63432,20,26,-651
63875,12,32,-652
64311,19,26,-653
64736,29,24,-655
65191,17,18,-653
65628,18,31,-653
66057,28,22,-655
66499,10,20,-655
66935,12,31,-656
67383,10,30,-653
67843,14,34,-652
68289,7,32,-653
68842,13,34,-653
69559,15,35,-654
69879,19,29,-652
70092,18,23,-656
70435,16,33,-654
70871,12,16,-654
71307,13,34,-658
71721,18,24,-652
72187,13,21,-655
72628,12,34,-655
73049,13,29,-654
73491,9,20,-652
73931,6,36,-652
74358,6,37,-654
74812,10,19,-655
75218,9,31,-654
75695,11,29,-653
76115,13,36,-655
76535,11,39,-653
76980,16,28,-655
77411,14,28,-651
77854,17,29,-649
78299,17,36,-654
78723,2,40,-653
79176,7,28,-654
79603,16,28,-652
80067,5,31,-650
80563,12,31,-652
80919,9,24,-654
81367,9,38,-654
81794,9,25,-654
82211,10,46,-655
82667,17,36,-652
83116,9,21,-655
83527,13,30,-655
83970,15,25,-655
84406,6,37,-654
84840,9,42,-654
85294,6,26,-653
85688,9,27,-653
86149,17,21,-652
86607,8,40,-655
87026,9,22,-652
87475,7,27,-653
87900,7,24,-654
88344,10,35,-653
88788,11,39,-654
89195,12,25,-655
89668,16,27,-655
90091,4,33,-653
90539,12,27,-652
90949,6,22,-650
91410,14,36,-653
91846,16,37,-655
92275,6,24,-653
92684,11,37,-655
93231,17,14,-652
93579,1,22,-654
94019,9,28,-652
94442,9,32,-655
94911,8,28,-654
95355,10,11,-654
95771,7,30,-654
96191,3,26,-650
96654,7,31,-655
97091,9,25,-651
97535,6,27,-651
97947,15,26,-654
98386,6,22,-652
98850,358,21,-655
99271,4,47,-655
99687,3,36,-654
100147,6,23,-657
100587,3,30,-650
101043,5,28,-649
101443,7,27,-653
101885,7,28,-653
102321,5,21,-651
102755,5,31,-652
103183,3,22,-653
103655,13,21,-652
104095,7,26,-650
104527,2,28,-654
104928,3,23,-651
105385,5,23,-653
105815,3,28,-653
106267,8,26,-653
106699,8,31,-654
107139,12,31,-652
107563,358,23,-654
107995,1,28,-652
108436,1,31,-654
108891,6,15,-653
109343,2,22,-653
109759,13,29,-655
110191,360,26,-653
110635,11,31,-653
111075,3,23,-651
111503,9,21,-654
111943,8,34,-655
112387,12,34,-653
112808,8,41,-649
113251,9,17,-652
113687,11,26,-653
114127,7,30,-652
114551,12,29,-656
115007,10,34,-654
115408,5,20,-652
115883,9,29,-654
116295,11,22,-655
116743,10,28,-655
117171,10,29,-650
117631,5,14,-652
118075,4,38,-654
118480,5,32,-652
118900,11,33,-651
119375,12,34,-654
119803,6,30,-652
120270,9,16,-655
120675,10,32,-653
121115,2,25,-654
121563,9,34,-654
121991,7,22,-652
122405,6,23,-652
122871,4,21,-651
123299,9,19,-654
123737,7,15,-655
124147,8,52,-651
124611,5,27,-655
125039,13,23,-652
125468,359,28,-650
125911,5,18,-648
126379,7,26,-654
126815,4,31,-655
127227,8,33,-652
127632,7,21,-653
128101,3,42,-652
128529,7,16,-655
128983,9,32,-653
129411,6,36,-652
129860,8,37,-653
130331,3,21,-654
130743,11,16,-653
131138,8,25,-653
131614,6,26,-653
132043,9,41,-655
132479,7,40,-649
132888,13,23,-654
133340,11,42,-653
133799,13,30,-653
134214,4,30,-652
134655,359,23,-653
135095,10,11,-655
135535,7,38,-654
135975,1,35,-654
136375,11,21,-652
136843,9,37,-653
137321,19,24,-655
137715,17,24,-654
138119,3,18,-653
138595,11,21,-652
139201,12,34,-654
139345,12,34,-654
