EpochTime,DOA,Confidence,Strength
2496,147,5,-668
3201,125,7,-669
22109,15,31,-650
22509,180,79,-190
22953,182,96,-127
23451,184,117,-153
23836,15,28,-650
24297,9,32,-652
24945,183,121,-262
25280,183,118,-128
25585,184,121,-138
26008,12,26,-647
26461,13,34,-650
26878,14,28,-652
27333,182,97,-128
27769,182,93,-119
28194,9,38,-654
28653,10,45,-650
29081,16,23,-653
29507,183,99,-141
29949,183,101,-121
30375,185,119,-190
30801,10,39,-652
31242,15,45,-648
31661,182,100,-165
32126,183,106,-125
32556,187,138,-157
33024,16,28,-652
33449,11,22,-650
33876,183,121,-227
34344,182,110,-130
34729,181,102,-136
35209,179,85,-136
35651,10,30,-650
36055,11,30,-650
36464,6,31,-647
36945,1,30,-647
37368,198,101,-131
37809,196,120,-117
38235,191,134,-120
38679,172,100,-200
39120,169,97,-124
39556,167,94,-152
40001,8,36,-650
40431,4,39,-651
40869,11,34,-651
41333,167,92,-135
41972,169,103,-143
42420,5,27,-651
42707,4,24,-650
43049,360,19,-651
43500,172,97,-157
43932,174,108,-136
44369,182,136,-236
44816,14,27,-648
45237,8,31,-648
45696,188,80,-144
46122,183,89,-124
46524,183,114,-175
46985,14,27,-650
47425,12,23,-651
47849,181,154,-177
48296,181,154,-126
48733,181,156,-157
49161,9,33,-654
49619,17,35,-651
50046,181,147,-293
50470,181,145,-137
50903,181,147,-154
51320,12,23,-652
51802,10,31,-651
52221,14,22,-651
52670,181,146,-158
53109,181,148,-141
53552,10,32,-648
53984,11,35,-652
54421,7,26,-652
54854,182,153,-171
55288,182,153,-146
55732,184,165,-206
56165,9,34,-651
56592,17,35,-646
57028,182,153,-199
57460,182,153,-140
57921,183,157,-177
58361,12,37,-653
58796,14,26,-654
59229,183,156,-247
59645,183,156,-145
60089,182,158,-166
60509,12,31,-651
60973,13,33,-651
61417,11,35,-651
61849,183,167,-172
62281,184,173,-168
62706,188,170,-164
63168,188,164,-171
63573,187,164,-261
64033,11,25,-651
64472,10,35,-654
64909,13,33,-651
65331,186,173,-238
65777,186,180,-221
66185,184,179,-228
66648,181,157,-290
67081,178,132,-223
67529,179,140,-228
67954,19,22,-655
68520,11,41,-650
68889,14,38,-653
69281,183,145,-224
69722,182,142,-213
70161,181,141,-380
70609,12,30,-652
71025,6,30,-651
71461,184,163,-243
71893,183,160,-218
72316,184,163,-275
72756,7,38,-655
73191,11,38,-654
73641,182,147,-293
74085,182,150,-233
74489,183,159,-271
74956,11,35,-650
75385,9,27,-655
75849,183,150,-387
76247,183,145,-261
76709,182,138,-281
77128,12,38,-653
77543,10,30,-653
78021,8,31,-654
78449,176,117,-290
78884,176,116,-284
79331,8,19,-650
79754,9,29,-652
80193,7,30,-654
80604,175,112,-307
81056,175,111,-286
81520,177,121,-353
81937,11,26,-652
82349,5,30,-656
82851,174,106,-329
83265,174,107,-285
83709,176,115,-317
84116,5,27,-652
84555,7,38,-649
85017,173,100,-371
85457,174,108,-282
85873,178,131,-307
86316,7,19,-653
86748,12,35,-654
87173,14,35,-652
87614,180,144,-298
88057,181,143,-303
88502,1,31,-653
88929,7,37,-652
89363,9,27,-652
89813,180,98,-333
90249,177,90,-318
90705,176,89,-316
91100,175,94,-315
91545,174,100,-319
91984,174,102,-420
92429,10,31,-653
92871,7,41,-652
93281,3,31,-650
93730,176,112,-363
94188,176,112,-334
94609,177,118,-335
95029,176,119,-386
95478,176,114,-320
95917,175,104,-328
96348,194,20,-651
96797,7,34,-653
97243,11,24,-651
97681,178,127,-336
98104,178,128,-318
98549,177,123,-440
99056,3,35,-652
99397,5,28,-654
99877,176,116,-358
100297,179,137,-329
100722,182,160,-381
101165,1,31,-654
101613,9,23,-651
102048,180,105,-412
102473,180,102,-350
102902,182,108,-385
103329,4,28,-650
103793,10,24,-652
104313,166,52,-497
104649,166,53,-357
105083,167,57,-374
105537,13,31,-652
105969,6,28,-651
106392,9,29,-650
106857,165,58,-373
107279,162,49,-362
107733,7,31,-653
108153,5,28,-649
108583,4,30,-651
109049,166,58,-384
109454,164,54,-364
109904,168,63,-430
110341,5,30,-651
110781,10,29,-650
111222,168,65,-414
111652,165,65,-359
112082,165,73,-391
112525,8,28,-653
113089,3,38,-655
113421,172,102,-462
113820,173,111,-363
114249,175,115,-387
114713,11,22,-653
115161,9,26,-653
115654,9,29,-652
116033,186,178,-380
116444,185,173,-384
116907,6,20,-654
117336,10,38,-651
117769,12,29,-651
118224,174,66,-412
118637,177,78,-395
119049,177,78,-478
119517,6,22,-655
119957,4,43,-652
120409,172,56,-429
120822,174,62,-397
121261,177,81,-442
121703,15,24,-650
122120,11,34,-654
122566,178,90,-463
123002,177,91,-393
123449,177,88,-402
123909,176,85,-397
124317,177,83,-393
124765,176,81,-404
125197,12,30,-652
125635,8,36,-653
126080,8,23,-654
126557,25,29,-652
126973,178,101,-423
127388,179,99,-413
127809,178,99,-415
128252,179,104,-473
128696,179,100,-396
129120,179,103,-414
129561,12,42,-654
129992,10,41,-650
130422,10,28,-653
130889,175,94,-383
131294,177,103,-387
131804,12,44,-648
132185,14,29,-651
132614,10,35,-653
133067,183,137,-411
133501,184,133,-391
133931,184,129,-507
134408,14,27,-652
134805,11,26,-651
135240,186,145,-429
135671,186,146,-395
136124,188,157,-438
136623,11,40,-653
137094,13,29,-653
137519,187,152,-467
137954,187,153,-386
138344,188,161,-422
138728,8,32,-653
139172,10,35,-654
139616,186,142,-555
140061,187,155,-390
140493,188,160,-398
140917,11,22,-651
141361,7,32,-653
141816,10,24,-650
142237,182,109,-395
142669,184,121,-389
143112,12,31,-654
143530,10,28,-652
144029,9,33,-652
144433,186,155,-428
144846,181,123,-410
145301,181,112,-476
145742,13,39,-652
146191,13,33,-654
146613,183,150,-464
147003,183,154,-417
147465,181,135,-456
147901,4,31,-652
148347,8,29,-653
148788,163,71,-528
149208,166,82,-419
149651,169,93,-432
150098,16,33,-653
150537,14,24,-652
150964,4,27,-651
151381,158,55,-427
151837,163,63,-438
152280,9,30,-656
152686,7,33,-652
153151,13,31,-653
153604,156,45,-562
154025,160,64,-433
154504,164,73,-430
154929,166,82,-438
155324,169,92,-469
155777,171,103,-415
156198,173,111,-441
156637,14,34,-655
157104,12,30,-654
157529,178,118,-519
157953,179,132,-421
158397,183,156,-444
158841,11,30,-652
159371,6,28,-652
159712,8,25,-653
160153,181,171,-450
160591,183,194,-450
161032,7,26,-653
161469,8,38,-651
161897,13,30,-652
162329,186,208,-453
162778,186,198,-440
163202,186,207,-524
163633,15,33,-652
164061,11,45,-651
164509,190,214,-458
164965,187,203,-424
165397,187,203,-464
165817,5,26,-652
166252,11,37,-654
166688,182,154,-507
167144,181,156,-420
167577,180,150,-436
168012,12,35,-649
168449,7,28,-654
168877,8,25,-651
169308,179,144,-416
169752,181,144,-419
170209,13,31,-653
170632,8,29,-652
171067,9,36,-652
171500,191,191,-423
171932,192,205,-404
172368,191,191,-524
172829,7,39,-652
173243,16,30,-654
173688,181,135,-421
174114,182,151,-388
174566,184,155,-429
175017,12,33,-654
175432,4,31,-649
175964,179,92,-438
176333,183,123,-381
176747,188,161,-413
177184,7,32,-653
177636,6,28,-653
178048,181,142,-505
178509,179,134,-362
178940,179,144,-371
179363,14,37,-653
179818,10,22,-652
180241,13,33,-654
180687,185,137,-345
181084,186,162,-338
181561,11,42,-653
182005,12,36,-652
182441,12,24,-652
182872,184,167,-330
183301,183,152,-302
183737,186,167,-301
184277,190,192,-294
184617,192,208,-290
185042,192,208,-307
185556,14,40,-652
185929,10,37,-653
186353,9,26,-652
186810,188,187,-366
187236,189,189,-279
187783,190,188,-274
188166,190,183,-286
188624,192,200,-276
189069,193,204,-239
189538,193,203,-275
189917,9,36,-651
190401,5,37,-649
190847,193,177,-283
191246,193,179,-203
191731,194,188,-216
192141,9,38,-652
192638,13,30,-651
192933,9,45,-653
193365,193,168,-168
193789,193,165,-162
194200,8,33,-651
194665,6,35,-652
195121,9,31,-652
195541,193,144,-142
195960,193,145,-117
196432,194,146,-240
196845,12,32,-644
197277,8,26,-650
197729,194,143,-152
198145,194,142,-118
198608,196,157,-170
199000,8,23,-648
199456,1,28,-649
199925,194,138,-190
200339,194,138,-117
200765,195,144,-151
201205,8,41,-643
201661,10,24,-652
202117,193,129,-261
202517,193,130,-111
202981,194,138,-123
203377,7,30,-651
203945,14,33,-645
204284,9,29,-652
204705,192,131,-118
205160,193,134,-118
205589,2,42,-650
206028,11,38,-652
206456,9,22,-651
206880,193,130,-132
207323,193,125,-112
207765,196,142,-177
208194,5,27,-649
208634,5,44,-646
209073,193,117,-137
209510,193,117,-94
209950,195,126,-119
210382,5,17,-647
210818,6,28,-645
211284,193,116,-189
211696,193,117,-99
212133,7,26,-645
212561,7,34,-644
213002,4,22,-644
213455,8,34,-642
213883,194,119,-112
214321,195,119,-112
214781,195,124,-117
215197,192,116,-157
215623,194,118,-95
216085,193,118,-122
216516,7,42,-646
216944,11,31,-646
217385,193,124,-254
217803,193,124,-104
218252,194,130,-113
218684,13,28,-649
219141,7,30,-646
219552,1,43,-645
220009,192,119,-115
220429,193,121,-105
220866,10,32,-649
221321,11,31,-646
221738,11,27,-648
222185,192,127,-136
222644,192,129,-113
223052,195,146,-177
223496,11,36,-650
223954,14,25,-651
224381,192,123,-166
224816,192,122,-110
225329,194,132,-151
225674,1,28,-646
226137,6,32,-649
226545,191,116,-212
226999,191,114,-109
227433,191,118,-127
227863,8,32,-651
228293,5,31,-647
228749,8,23,-651
229189,190,116,-110
229617,190,118,-108
230056,3,29,-650
230496,11,32,-646
