EpochTime,DOA,Confidence,Strength
2757,239,5,-671
3320,184,2,-670
20932,355,153,-169
21190,355,152,-185
21646,6,41,-655
22079,14,42,-657
22515,11,45,-654
22959,354,152,-179
23399,355,151,-171
23835,355,151,-177
24261,355,150,-179
24706,355,150,-179
25131,355,150,-224
25579,8,50,-651
26018,16,42,-654
26479,10,36,-654
26899,355,151,-240
27339,355,152,-190
27767,355,153,-188
28203,355,153,-235
28654,355,153,-181
29069,355,152,-170
29510,355,152,-275
30107,7,36,-655
30704,8,44,-656
31048,355,149,-199
31270,355,148,-166
31685,355,148,-215
32139,10,40,-655
32571,7,45,-655
33002,355,151,-238
33444,355,154,-163
33876,355,155,-197
34325,9,35,-655
34751,10,49,-654
35203,355,150,-345
35851,355,151,-168
36298,355,154,-180
36531,4,41,-652
36974,11,39,-651
37383,12,35,-651
37831,355,143,-191
38269,355,145,-176
38684,14,33,-651
39139,9,36,-652
39571,8,29,-653
40010,356,139,-205
40445,355,144,-183
40875,354,148,-240
41307,12,33,-654
41759,14,36,-651
42182,356,137,-231
42635,356,143,-187
43055,355,148,-217
43499,6,50,-653
43927,11,31,-651
44360,356,144,-295
44830,356,142,-179
45251,356,138,-195
45670,6,42,-653
46126,8,47,-654
46562,8,40,-654
46999,355,153,-201
47426,355,146,-203
47846,9,37,-653
48354,14,39,-656
48751,11,40,-651
49163,357,150,-239
49614,357,150,-218
50039,357,149,-298
50491,19,24,-655
50926,9,33,-653
51423,356,138,-278
51867,356,150,-230
52243,357,161,-276
52667,12,35,-654
53095,10,33,-653
53519,357,142,-320
53989,357,150,-241
54431,356,159,-275
54842,6,36,-655
55310,9,30,-652
55720,13,43,-654
56162,353,137,-261
56603,352,143,-264
57039,7,29,-652
57490,15,39,-657
57915,13,36,-654
58367,357,128,-268
58787,357,129,-256
59202,356,136,-263
59647,356,141,-307
60081,10,32,-657
60535,13,38,-653
60970,17,24,-655
61395,353,137,-350
61842,353,136,-301
62273,353,134,-301
62718,353,133,-348
63162,354,134,-304
63602,354,133,-288
64015,354,133,-441
64482,17,29,-653
64907,12,26,-654
65340,354,133,-325
65772,354,134,-297
66213,354,134,-346
66703,11,36,-653
67095,5,24,-655
67523,353,134,-344
67975,353,136,-286
68399,353,140,-317
68849,15,40,-651
69271,9,34,-653
69707,353,140,-415
70165,353,143,-285
70579,353,146,-296
71018,12,29,-654
71440,11,42,-653
71880,10,27,-655
72557,352,155,-314
72811,351,161,-307
73198,14,35,-656
73661,13,26,-655
74071,12,29,-655
74512,358,125,-340
74953,360,119,-320
75378,360,116,-389
75843,8,34,-654
76263,20,28,-654
76695,359,110,-377
77151,360,110,-324
77579,360,111,-363
78019,11,24,-655
78447,13,42,-653
78885,360,125,-416
79319,360,124,-322
79759,360,124,-342
80195,4,53,-655
80624,11,33,-651
81070,11,28,-655
81502,356,142,-343
81939,355,140,-339
82372,17,42,-656
82818,12,25,-652
83255,11,42,-655
83699,357,125,-349
84138,356,124,-334
84555,355,125,-434
85019,20,39,-655
85447,10,35,-657
85879,355,112,-369
86330,355,107,-387
86755,12,43,-656
87182,11,16,-655
87619,11,32,-652
88055,348,147,-416
88486,349,144,-366
88931,350,143,-361
89354,352,136,-406
89831,353,120,-360
90247,353,105,-341
90680,353,99,-453
91135,17,30,-656
91555,12,22,-653
91995,353,143,-429
92429,353,141,-396
92875,353,130,-439
93307,8,33,-653
93731,11,27,-653
94176,355,135,-474
94635,357,148,-397
95051,357,151,-428
95487,7,38,-657
95915,11,29,-654
96371,355,106,-564
96851,354,108,-385
97239,354,106,-395
97665,17,31,-656
98107,9,47,-655
98542,14,33,-656
98973,353,126,-391
99412,355,139,-386
99848,13,31,-655
100334,12,24,-651
100723,14,34,-654
101151,353,137,-414
101611,353,140,-403
102029,354,144,-465
102509,17,32,-650
102911,10,33,-653
103355,359,215,-450
103787,1,207,-421
104217,355,140,-469
104651,15,35,-655
105095,14,30,-652
105542,355,198,-514
105987,1,213,-426
106414,350,130,-454
106831,11,24,-654
107282,8,31,-652
107709,8,24,-654
108183,3,237,-430
108599,3,237,-423
109039,1,20,-652
109483,2,29,-653
109914,360,29,-653
110375,359,215,-431
110779,359,216,-403
111231,3,230,-401
111663,4,230,-399
112087,2,216,-388
112531,2,205,-393
112953,4,26,-653
113394,2,25,-653
113855,2,22,-650
114271,12,16,-653
114699,10,200,-407
115159,10,204,-407
115576,3,163,-421
116016,346,110,-480
116466,343,101,-402
116899,345,88,-445
117344,5,33,-655
117779,7,23,-652
118211,9,35,-655
118651,360,119,-450
119076,7,200,-439
119514,10,36,-654
119963,4,17,-653
120415,10,21,-653
120927,2,151,-444
121266,4,175,-423
121703,4,159,-578
122143,9,28,-652
122568,8,23,-652
123007,360,169,-433
123445,360,169,-409
123889,360,167,-462
124357,8,31,-656
124771,12,30,-654
125203,3,200,-462
125643,4,210,-413
126060,3,214,-455
126519,6,43,-655
126947,9,29,-654
127377,1,212,-550
127839,1,222,-421
128271,2,221,-425
128691,11,30,-654
129122,16,35,-654
129555,12,28,-657
130023,8,240,-428
130439,10,243,-423
130877,14,36,-655
131326,11,38,-652
131767,9,38,-653
132199,13,239,-463
132636,13,237,-442
133067,12,232,-507
133520,6,25,-652
133934,14,19,-654
134367,12,230,-482
134808,12,235,-433
135255,12,234,-475
135683,13,29,-652
136113,16,28,-655
136551,10,166,-537
137011,10,175,-449
137429,10,179,-467
137875,13,33,-656
138309,10,38,-654
138746,7,26,-653
139187,1,129,-442
139613,359,136,-465
140071,17,29,-655
140509,6,30,-654
140951,9,33,-653
141381,1,193,-515
141791,4,180,-477
142233,5,170,-472
142682,4,171,-496
143107,1,180,-492
143543,1,175,-475
144011,1,160,-533
144419,9,23,-654
144854,7,38,-654
145306,2,155,-535
145727,2,160,-484
146259,2,158,-518
146616,6,34,-652
147039,9,39,-656
147507,2,149,-587
147930,1,160,-486
148362,359,172,-504
148777,10,35,-655
149218,15,14,-655
149679,7,28,-654
150115,358,175,-519
150551,1,158,-516
150975,12,33,-655
151400,7,28,-657
151896,6,32,-655
152299,7,129,-531
152722,8,125,-516
153167,8,110,-590
153622,13,26,-653
154065,13,38,-653
154475,5,132,-554
154904,7,131,-518
155337,7,121,-563
155791,3,32,-655
156226,5,32,-655
156663,9,155,-566
157099,9,168,-486
157531,7,170,-505
157969,6,24,-654
158402,7,31,-654
158851,7,39,-654
159319,9,143,-478
159703,14,146,-484
160163,11,27,-656
160598,8,36,-655
161016,5,32,-655
161483,12,161,-473
161915,11,145,-463
162355,11,130,-570
162764,6,38,-654
163204,13,35,-656
163647,5,167,-484
164151,6,168,-449
164519,7,159,-440
164951,8,155,-444
165460,9,156,-441
165819,7,34,-652
166271,7,37,-654
166699,5,28,-656
167131,11,29,-655
167599,2,161,-446
168031,359,158,-431
168455,360,160,-428
168944,3,163,-483
169338,3,160,-405
169856,1,151,-419
170215,5,32,-656
170646,10,31,-656
171134,6,28,-655
171517,6,127,-411
171993,2,133,-404
172377,12,30,-651
172894,4,39,-657
173263,12,29,-652
173670,5,155,-411
174156,5,166,-389
174626,3,186,-462
175007,13,28,-654
175484,16,24,-654
175882,1,183,-377
176308,3,173,-344
176757,4,167,-382
177191,7,44,-651
177615,6,31,-657
178179,359,186,-397
178500,359,179,-311
178935,359,170,-327
179383,7,29,-654
179807,11,25,-653
180253,5,23,-657
180695,360,181,-284
181119,360,179,-282
181575,16,22,-657
181995,17,25,-653
182428,7,31,-656
182870,359,172,-270
183307,360,178,-248
183847,360,181,-359
184171,9,30,-656
184609,19,19,-655
185051,356,167,-244
185483,357,170,-205
185917,357,173,-243
186383,8,41,-653
186811,6,34,-652
187251,357,166,-280
187667,357,166,-202
188110,357,167,-235
188546,12,33,-655
188979,12,29,-655
189443,357,166,-365
189859,357,167,-206
190311,357,168,-217
190727,11,36,-651
191158,13,35,-655
191610,8,37,-653
192051,360,193,-204
192475,359,176,-231
193051,4,28,-651
193360,6,33,-655
193811,8,38,-652
194235,352,151,-232
194667,354,171,-208
195107,359,195,-268
195541,6,22,-653
195973,7,26,-657
196408,351,162,-248
196851,353,168,-198
197282,355,170,-191
197740,356,169,-196
198155,356,169,-189
198615,9,42,-655
199051,11,34,-655
199487,9,42,-656
199942,7,32,-653
200355,356,167,-208
200779,357,167,-196
201231,357,166,-192
201644,357,166,-256
202082,357,167,-173
202526,357,167,-199
202971,7,42,-654
203448,7,37,-655
203847,11,32,-656
204278,356,160,-173
204710,356,159,-172
205146,8,36,-652
205611,9,43,-654
206016,5,34,-653
206449,355,158,-183
206893,355,158,-162
207327,354,158,-243
207770,1,35,-654
208200,12,46,-655
208647,353,134,-210
209077,352,131,-174
209518,351,131,-215
209975,7,39,-654
210396,6,44,-650
210823,350,129,-239
211295,351,125,-174
211702,352,123,-203
212142,6,34,-654
212571,7,34,-655
213022,7,43,-652
213452,349,116,-177
213888,349,111,-187
214339,13,38,-653
214783,5,40,-655
215199,13,41,-653
215631,355,99,-200
216091,355,97,-180
216501,354,96,-332
217047,14,36,-654
217391,2,32,-654
217831,355,79,-221
218271,357,77,-198
218692,358,76,-251
219151,10,36,-653
219567,5,31,-652
220013,359,73,-263
220450,357,69,-198
220881,355,64,-235
221310,4,43,-655
221754,11,45,-655
222182,5,64,-339
222651,7,68,-207
223050,8,75,-216
223502,11,39,-653
223939,9,41,-651
224379,5,35,-653
224839,5,51,-221
225251,8,53,-218
225673,5,23,-650
226143,9,19,-656
