EpochTime,DOA,Confidence,Strength
2760,335,11,-670
3002,248,19,-668
20997,86,60,-662
21275,83,52,-658
21742,83,71,-662
22145,84,70,-659
22600,71,68,-661
23101,80,61,-662
23477,80,65,-657
23924,78,66,-660
24353,82,75,-661
24795,80,76,-661
25219,81,77,-660
25673,73,62,-661
26112,82,70,-659
26538,73,64,-655
26973,80,51,-661
27429,79,59,-662
27853,84,60,-659
28373,76,67,-659
28729,79,54,-662
29174,85,81,-657
29617,83,69,-659
30041,72,63,-661
30482,74,58,-663
30956,89,68,-662
31346,79,56,-658
31797,76,81,-660
32217,77,71,-659
32659,76,50,-661
33102,84,98,-656
33533,75,64,-658
33973,80,69,-659
34405,83,68,-660
34841,79,75,-658
35285,76,74,-661
35706,84,70,-659
36163,80,63,-661
36594,78,66,-663
37021,78,72,-659
37454,82,67,-660
37913,90,71,-660
38377,85,84,-662
38781,80,81,-658
39202,85,57,-658
39669,75,65,-660
40086,78,60,-660
40551,79,46,-660
40962,86,76,-661
41404,76,72,-660
41838,87,79,-659
42276,83,56,-661
42725,81,68,-661
43143,88,63,-657
43579,79,54,-658
44020,76,76,-657
44458,87,68,-659
44921,74,66,-658
45323,85,57,-658
45757,84,78,-658
46206,84,60,-660
46649,82,76,-659
47087,82,74,-659
47529,82,57,-660
47957,89,66,-660
48433,80,68,-661
48837,77,49,-661
49265,79,74,-660
49709,88,52,-659
50133,84,85,-662
50589,92,54,-660
51013,80,57,-659
51457,79,65,-661
51898,84,75,-660
52322,84,87,-660
52767,76,62,-657
53184,83,75,-662
53641,88,62,-660
54081,86,63,-660
54505,84,75,-659
54939,84,51,-659
55373,85,62,-657
55821,83,93,-659
56273,72,74,-660
56705,83,68,-661
57125,79,76,-657
57553,74,49,-660
57990,83,69,-658
58464,85,65,-660
58869,80,56,-659
59310,82,81,-660
59749,81,58,-660
60181,82,79,-660
60631,86,64,-655
61065,85,55,-659
61513,82,55,-658
61941,83,57,-661
62368,81,47,-661
62818,80,64,-658
63245,80,64,-661
63714,84,85,-659
64133,77,82,-660
64549,80,53,-661
65035,79,91,-659
65424,79,62,-661
65869,85,62,-658
66305,73,70,-660
66745,79,70,-657
67209,82,63,-658
67613,78,73,-660
68043,82,82,-662
68492,80,68,-659
68925,89,71,-660
69377,77,55,-661
69797,82,67,-659
70241,87,64,-661
70689,82,75,-660
71117,78,67,-660
71539,81,68,-660
71979,77,56,-657
72418,83,53,-661
72885,78,66,-660
73290,81,58,-660
73737,82,51,-659
74162,84,67,-661
74605,82,66,-661
75056,84,80,-660
75485,86,73,-660
75921,78,64,-661
76347,81,53,-661
76780,76,90,-659
77236,85,57,-662
77654,87,68,-658
78112,86,78,-661
78536,78,54,-663
79045,84,56,-660
79418,69,52,-661
79857,85,69,-663
80275,79,73,-663
80721,80,59,-662
81153,82,68,-661
81609,80,64,-661
82025,71,65,-662
82462,82,54,-660
82906,78,77,-661
83338,79,75,-660
83772,77,73,-662
84225,83,57,-658
84645,74,72,-663
85101,77,66,-663
85529,84,77,-661
85969,80,70,-661
86401,73,78,-659
86839,82,71,-664
87286,82,66,-658
87713,79,83,-660
88142,82,61,-660
88595,76,76,-663
89030,88,71,-661
89485,89,66,-658
89899,80,62,-663
90332,79,56,-660
90769,73,51,-662
91200,87,64,-661
91665,74,60,-659
92069,76,80,-662
92505,73,76,-662
92961,71,61,-662
93389,80,66,-661
93862,79,56,-663
94263,68,64,-663
94697,73,55,-663
95139,86,62,-663
95577,80,67,-660
96005,84,75,-662
96465,77,67,-662
96878,79,66,-660
97330,77,65,-662
97751,79,52,-661
98205,74,56,-661
98629,81,49,-660
99102,80,52,-658
99521,84,67,-657
99942,81,48,-662
100378,76,71,-659
100825,78,75,-659
101249,84,68,-659
101698,80,50,-660
102120,79,55,-663
102566,85,78,-659
103007,79,70,-662
103449,75,62,-660
103890,79,75,-660
104309,73,64,-665
104743,74,74,-661
105195,71,78,-659
105622,75,61,-656
106077,80,54,-661
106509,76,68,-661
106945,88,60,-664
107437,80,68,-663
107853,81,79,-659
108268,79,56,-658
108697,77,86,-658
109145,80,65,-660
109576,84,58,-661
110017,81,71,-663
110453,80,79,-659
110885,76,59,-658
111311,74,40,-662
111739,85,79,-659
112230,83,56,-661
112625,76,79,-660
113046,78,84,-661
113503,72,77,-658
113937,79,75,-659
114385,79,86,-661
114807,75,77,-659
115233,76,84,-660
115685,76,82,-660
116116,71,71,-661
116577,74,84,-660
116983,76,85,-661
117430,84,58,-661
117884,83,82,-659
118308,75,87,-660
118761,78,76,-660
119179,70,82,-662
119627,75,70,-660
120061,75,79,-661
120485,77,79,-661
120918,76,78,-658
121364,78,91,-660
121795,81,76,-660
122237,72,72,-662
122685,81,91,-662
123109,73,72,-663
123565,79,77,-659
123978,77,73,-661
124426,74,43,-662
124854,74,56,-657
125289,75,61,-661
125742,82,71,-660
126159,86,69,-664
126612,68,71,-662
127053,80,71,-661
127470,76,63,-660
127913,79,70,-658
128344,71,55,-661
128789,78,54,-659
129236,85,60,-658
129669,84,73,-660
130101,76,76,-658
130532,79,79,-661
130975,72,63,-662
131433,72,73,-660
131840,78,58,-658
132278,72,65,-662
132725,91,90,-660
133173,65,71,-662
133613,81,82,-659
134041,82,69,-663
134470,83,84,-660
134901,75,67,-660
135332,69,70,-662
135797,83,62,-662
136213,80,88,-661
136665,76,62,-659
137105,73,75,-660
137532,82,81,-660
137962,86,67,-662
138405,65,74,-664
138845,76,68,-662
139289,85,71,-662
139702,72,84,-656
140157,75,85,-659
140601,74,68,-661
141016,74,86,-659
141457,71,80,-659
141905,78,85,-658
142333,88,68,-661
142787,77,78,-662
143202,72,80,-661
143649,71,74,-662
144081,78,104,-662
144504,80,73,-658
144954,76,85,-662
145394,81,62,-659
145822,84,68,-658
146285,76,92,-661
146717,67,80,-660
147129,77,71,-658
147569,79,70,-663
148013,75,71,-662
148448,74,61,-661
148889,72,72,-657
149318,67,78,-659
149765,81,62,-660
150197,76,72,-661
150645,73,85,-656
151081,75,92,-661
151509,74,95,-659
151949,69,78,-661
152389,77,66,-661
152833,72,67,-660
153246,75,78,-661
153682,80,72,-662
154141,82,83,-661
154554,72,74,-660
155024,79,78,-658
155432,81,74,-660
155874,70,74,-659
156321,79,75,-660
156749,80,82,-661
157192,85,83,-661
157641,82,87,-659
158082,77,65,-659
158499,77,85,-659
158941,72,71,-660
159417,70,86,-660
159833,77,98,-663
160241,86,82,-658
160696,75,64,-662
161123,81,81,-658
161546,79,72,-659
162009,67,75,-661
162419,73,86,-657
162870,75,78,-658
163314,79,80,-660
163741,77,84,-660
164177,82,68,-658
164620,85,88,-657
165049,73,73,-662
165501,70,77,-658
165924,71,72,-661
166367,78,67,-662
166857,80,92,-661
167241,74,67,-659
167669,73,82,-660
168111,84,76,-660
168543,82,87,-657
169029,81,83,-661
169419,70,87,-662
169850,72,72,-662
170307,78,90,-662
170732,76,87,-660
171193,85,69,-661
171613,82,76,-660
172041,83,93,-659
172497,76,96,-661
172910,79,79,-660
173361,74,76,-659
173789,76,76,-658
174226,73,82,-663
174679,78,95,-658
175117,70,62,-662
175536,81,72,-658
175970,72,71,-661
176399,71,77,-661
176849,73,83,-657
177285,77,66,-661
177749,71,72,-661
178169,79,71,-660
178609,71,80,-659
179042,72,79,-660
179469,75,69,-660
179903,75,78,-660
180353,82,62,-660
180801,62,56,-657
181220,70,91,-658
181659,75,84,-661
182105,76,68,-659
182529,78,59,-661
182980,79,80,-658
183409,70,76,-659
183853,69,71,-659
184270,72,78,-661
184712,73,61,-659
185142,65,52,-660
185592,76,73,-660
186034,71,64,-660
186465,74,71,-658
186897,74,77,-661
187349,73,81,-660
187777,80,85,-662
188217,71,71,-660
188641,74,85,-662
189084,73,78,-661
189537,71,87,-659
189965,63,57,-659
190397,73,75,-662
190833,81,63,-657
191254,71,72,-660
191707,74,68,-660
192128,78,67,-660
192586,74,66,-657
193016,81,66,-660
