EpochTime,DOA,Confidence,Strength
2726,239,11,-653
2953,340,6,-651
20957,81,32,-664
21326,64,26,-663
21774,79,20,-664
22195,260,33,-662
22658,241,20,-664
23098,78,20,-665
23512,100,28,-664
23990,235,28,-664
24444,275,37,-663
24833,253,36,-662
25274,269,33,-663
25707,252,23,-662
26158,237,34,-664
26641,78,22,-662
27025,65,23,-664
27458,87,29,-663
27898,71,33,-662
28332,268,36,-664
28786,250,20,-662
29214,70,26,-662
29633,72,20,-661
30081,44,20,-663
30519,243,20,-663
30960,271,28,-664
31389,76,31,-662
31830,86,29,-666
32270,276,32,-663
32698,78,25,-663
33197,81,28,-665
33571,242,36,-665
34022,103,53,-664
34440,92,42,-663
34879,246,58,-667
35329,252,47,-661
35766,251,45,-666
36198,241,67,-667
36657,81,33,-664
37070,74,42,-661
37498,91,31,-665
37946,246,26,-665
38385,76,35,-662
38821,92,33,-662
39246,261,24,-661
39706,258,23,-664
40128,252,22,-663
40566,257,33,-663
41054,273,29,-662
41448,264,31,-664
41869,261,21,-663
42313,76,32,-665
42738,280,43,-662
43207,253,25,-664
43614,86,23,-666
44051,215,26,-663
44487,259,34,-662
44930,224,29,-665
45382,237,29,-663
45818,268,25,-663
46250,98,27,-662
46686,249,26,-665
47126,241,37,-662
47587,277,28,-662
48010,251,24,-665
48442,90,28,-661
48870,272,23,-659
49318,260,34,-666
49754,70,20,-664
50178,72,33,-664
50610,249,37,-663
51066,263,22,-664
51477,72,24,-663
51938,251,22,-661
52363,243,20,-665
52795,86,21,-665
53235,85,23,-663
53681,72,28,-665
54114,248,29,-662
54549,74,21,-663
54974,274,21,-665
55452,245,39,-664
55846,64,26,-663
56286,246,32,-665
56722,68,32,-664
57160,257,30,-660
57622,86,22,-665
58044,62,40,-663
58479,226,26,-662
58931,275,27,-664
59366,256,21,-665
59805,266,21,-662
60230,274,24,-661
60660,81,44,-664
61103,72,28,-663
61532,74,20,-662
61990,77,28,-662
62454,251,31,-663
62854,89,40,-661
63281,249,28,-663
