EpochTime,DOA,Confidence,Strength
2700,211,17,-665
3049,11,20,-666
21666,268,83,-653
22031,257,87,-657
22501,258,100,-654
22922,260,89,-655
23427,262,99,-655
24263,252,99,-656
24586,257,89,-657
24910,258,96,-658
25144,260,84,-658
25581,256,94,-655
26014,251,87,-656
26400,258,102,-652
26874,260,104,-657
27309,255,87,-657
27739,261,88,-654
28185,251,97,-657
28608,257,93,-657
29060,255,85,-655
29490,265,87,-654
29934,259,99,-657
30380,257,88,-659
30805,262,101,-659
31261,258,88,-659
31690,261,116,-658
32118,265,91,-657
32566,262,88,-657
32979,256,91,-657
33434,258,105,-654
33917,252,92,-656
34306,259,96,-657
34734,256,82,-655
35175,265,108,-659
35611,267,103,-657
36050,255,114,-656
36476,260,87,-653
36925,253,94,-658
37394,265,82,-654
37790,258,105,-656
38235,255,99,-655
38658,251,107,-658
39119,261,94,-655
39538,255,87,-655
39976,256,101,-657
40417,259,115,-660
40858,262,82,-655
41309,256,112,-659
41730,254,80,-656
42180,251,100,-656
42606,141,154,-277
43025,142,149,-184
43562,145,149,-203
43920,146,150,-199
44350,148,138,-206
44788,148,139,-210
45220,147,139,-204
45677,145,142,-200
46089,145,145,-201
46538,145,147,-201
46986,143,130,-196
47412,137,129,-163
47838,136,156,-155
48302,134,140,-170
48713,139,172,-216
49141,130,252,-224
49565,119,245,-209
50031,110,217,-191
50474,102,188,-201
50882,88,115,-260
51334,67,126,-314
51787,78,177,-271
52202,73,135,-290
52658,228,88,-368
53095,187,65,-342
53530,158,73,-309
53986,165,98,-341
54406,165,189,-370
54838,156,257,-292
55294,145,279,-250
55714,140,268,-237
56150,135,201,-240
56594,134,153,-272
57018,143,167,-302
57447,139,246,-295
57900,136,209,-267
58328,131,124,-258
58788,124,86,-323
59200,124,59,-343
59634,252,100,-658
60100,266,77,-654
60508,262,82,-656
60919,281,156,-406
61383,280,139,-429
61816,263,95,-656
62288,258,91,-657
62706,257,115,-654
63132,289,161,-422
63602,289,182,-386
64010,284,167,-415
64446,284,219,-480
64902,283,214,-483
65315,282,180,-492
65749,275,124,-627
66193,259,92,-658
66634,263,101,-656
67109,295,105,-522
67512,298,149,-498
67950,301,109,-548
68386,251,86,-659
68813,260,93,-658
69252,298,135,-508
69691,299,150,-433
70114,304,201,-460
70546,252,84,-657
70982,256,91,-658
71434,298,60,-626
71902,298,88,-465
72326,299,151,-467
72769,254,85,-656
73202,259,107,-658
73638,259,80,-657
74058,268,183,-505
74504,260,215,-478
74930,255,76,-658
75418,263,108,-659
75812,256,107,-655
76257,169,168,-539
76692,160,225,-494
77118,158,297,-506
77565,258,94,-656
77987,264,85,-659
78442,240,65,-465
78889,310,100,-445
79305,305,89,-481
79734,257,84,-659
80182,258,106,-659
80609,255,216,-533
81051,257,220,-440
81477,262,224,-461
81923,263,89,-655
82373,255,91,-657
82790,260,90,-655
83254,264,240,-495
83686,255,145,-521
84110,264,93,-658
84535,252,98,-658
84991,263,93,-658
85419,190,139,-614
85858,185,114,-540
86291,180,138,-599
86737,254,79,-658
87202,258,90,-655
87618,157,276,-570
88038,148,155,-518
88484,132,129,-554
88910,262,92,-654
89349,257,89,-657
89783,109,223,-600
90220,99,228,-527
90705,91,236,-569
91110,258,87,-657
91538,254,103,-658
92018,254,99,-660
92742,82,119,-600
92949,133,127,-607
93279,258,95,-658
93728,263,96,-655
94165,254,95,-659
94606,127,175,-562
95044,125,243,-544
95467,262,87,-657
95891,250,100,-659
96333,257,106,-656
96799,264,108,-655
97393,92,153,-615
97942,90,171,-603
98191,92,207,-590
98535,90,188,-628
98970,109,190,-581
99394,133,169,-602
99872,251,95,-656
100278,257,80,-656
100718,254,85,-656
101158,183,112,-655
101574,180,134,-639
101990,265,86,-657
102474,254,109,-656
102887,260,98,-655
103384,130,207,-612
103787,113,247,-593
104222,111,122,-636
104641,261,74,-657
105080,260,92,-658
105538,89,164,-633
105954,72,147,-628
106397,69,105,-648
106846,266,96,-658
107266,254,112,-658
107697,94,56,-657
108143,110,158,-628
108570,125,138,-645
109012,257,87,-653
109454,259,88,-656
109885,257,95,-658
110376,107,144,-628
110769,105,100,-636
111194,255,105,-656
111644,256,107,-653
112065,254,92,-659
112501,359,79,-650
112926,356,90,-654
113385,278,66,-655
113810,262,91,-657
114266,257,109,-657
114702,76,89,-646
115126,72,75,-643
115562,265,39,-655
116006,261,99,-658
116457,256,120,-655
116891,198,45,-651
117330,118,120,-640
117754,105,52,-653
118186,264,105,-657
118616,259,98,-654
119062,255,100,-653
119514,299,143,-641
119941,321,97,-657
120378,268,97,-654
120826,259,87,-658
121244,256,106,-655
121693,261,63,-650
122134,280,157,-647
122562,257,104,-658
123002,258,99,-657
123442,265,94,-658
123860,256,94,-657
124302,258,74,-657
124736,266,104,-657
125174,259,100,-659
125621,262,95,-654
126049,257,54,-655
126490,308,184,-641
126946,314,278,-637
127362,317,201,-647
127795,326,125,-643
128262,24,56,-642
128682,260,74,-657
129107,260,110,-657
129570,266,103,-657
129986,262,114,-658
130423,285,126,-639
130834,289,98,-644
131303,257,72,-650
131753,271,103,-657
132166,302,126,-649
132614,315,120,-644
133051,257,108,-657
133481,255,95,-656
133926,260,90,-657
134373,258,84,-658
134798,252,89,-657
135221,256,95,-658
135667,256,89,-658
136110,263,90,-658
136593,304,119,-651
136985,281,125,-656
137420,256,98,-657
137874,253,90,-657
138281,260,109,-658
138728,260,20,-651
139154,64,82,-645
139587,264,40,-655
140026,255,93,-659
140474,261,83,-659
140894,251,62,-653
141367,280,71,-641
141803,270,90,-658
142234,259,95,-656
142682,251,100,-653
143110,261,106,-655
143530,38,43,-656
143970,307,111,-659
144406,258,90,-658
144855,258,87,-655
145298,257,94,-657
145714,111,143,-633
146254,273,42,-650
146600,255,109,-658
147034,260,75,-658
147462,256,98,-659
147910,47,90,-650
148334,51,149,-640
148769,3,85,-654
149200,264,87,-658
149689,259,93,-660
150097,132,79,-657
150530,120,153,-629
150978,94,120,-638
151401,262,85,-658
151834,258,95,-657
152264,96,89,-652
152706,103,215,-599
153189,102,243,-611
153594,256,96,-658
154027,261,79,-655
154446,258,98,-657
154890,169,76,-655
155326,122,64,-648
155784,254,94,-656
156202,258,112,-656
156642,260,91,-660
157066,93,165,-599
157510,120,317,-560
157938,131,321,-558
158393,118,227,-567
158817,248,87,-654
159270,258,96,-658
159690,255,101,-656
160129,208,58,-655
160565,90,59,-594
161008,91,171,-532
161465,104,199,-545
161886,126,192,-568
162330,154,25,-518
162763,175,71,-548
163199,260,84,-656
163615,256,114,-658
164070,177,108,-644
164498,178,110,-582
164932,280,99,-538
165394,257,97,-654
165813,260,107,-656
166270,256,100,-655
166691,255,179,-444
167111,238,164,-469
167581,257,87,-656
167982,263,96,-658
168428,263,99,-657
168893,172,90,-586
169322,273,163,-542
169752,262,162,-644
170172,260,99,-657
170616,260,102,-655
171070,300,97,-507
171494,306,120,-526
171925,311,193,-516
172374,254,97,-659
172808,258,97,-657
173235,137,131,-514
173682,133,92,-483
174113,291,60,-561
174566,256,88,-657
175064,254,93,-658
175439,286,184,-476
175861,284,188,-347
176286,284,188,-367
176738,261,98,-659
177180,260,91,-659
177606,257,86,-658
178035,141,195,-373
178475,135,162,-304
178934,264,81,-658
