EpochTime,DOA,Confidence,Strength
2648,259,4,-667
2926,270,5,-668
19551,74,80,-663
19806,55,45,-664
20291,74,239,-335
20684,71,233,-360
21130,75,79,-662
21572,69,64,-665
22009,66,54,-663
22448,203,106,-384
22870,200,96,-362
23322,199,103,-429
23764,72,39,-665
24219,64,79,-665
24632,89,221,-364
25066,91,164,-315
25506,90,142,-367
25932,76,78,-666
26379,95,62,-665
26816,199,58,-503
27253,153,74,-380
27688,151,98,-409
28133,91,80,-666
28572,74,79,-666
28992,67,64,-662
29432,104,137,-489
29876,228,81,-493
30292,67,59,-662
30756,83,62,-664
31192,64,76,-663
31628,277,109,-429
32050,46,123,-496
32496,47,119,-596
32931,92,79,-664
33368,83,67,-664
33812,29,110,-548
34244,25,135,-547
34668,27,147,-638
35118,69,73,-666
35574,79,68,-665
35984,16,111,-604
36423,9,116,-515
36861,3,112,-503
37299,70,91,-662
37729,85,80,-662
38166,69,63,-663
38602,356,89,-446
39043,356,92,-442
39488,353,94,-443
39916,80,57,-663
40360,83,59,-665
40792,83,49,-662
41236,72,60,-664
41692,348,107,-413
42113,348,110,-410
42544,348,113,-415
42962,348,112,-449
43408,348,112,-400
43860,348,110,-423
44294,74,66,-664
44728,73,51,-664
45176,348,109,-546
45645,348,111,-399
46128,348,111,-410
46495,78,50,-664
47080,67,38,-661
47364,70,52,-665
47801,348,109,-412
48454,348,108,-400
49076,86,74,-663
49356,77,65,-665
49595,91,57,-665
49992,348,108,-409
50428,348,107,-380
50852,348,107,-443
51316,63,68,-664
51748,70,57,-664
52172,349,136,-423
52604,349,131,-361
53036,349,121,-397
53472,72,65,-665
53879,78,65,-663
54367,350,134,-472
54808,350,134,-377
55235,351,135,-377
55652,83,71,-663
56091,67,48,-666
56528,69,90,-661
57044,354,122,-385
57412,354,120,-384
57836,66,71,-660
58292,80,62,-665
58701,79,74,-661
59160,352,140,-401
59592,350,143,-380
60032,348,136,-464
60519,81,89,-664
60928,81,70,-664
61348,348,149,-402
61775,346,135,-358
62224,345,116,-403
62642,78,66,-664
63083,59,46,-662
63508,351,93,-448
63981,348,104,-373
64408,347,119,-400
64832,66,77,-663
65269,75,71,-666
65708,58,73,-664
66164,5,143,-532
66588,10,134,-598
67024,14,133,-604
67499,59,67,-662
67895,86,79,-663
68315,74,74,-664
68763,90,74,-663
69218,23,140,-487
69650,24,141,-466
70096,27,143,-447
70512,31,144,-492
70976,37,140,-401
71404,42,140,-404
71820,79,75,-663
72251,72,64,-663
72704,70,61,-664
73129,52,113,-399
73580,55,141,-375
74016,85,51,-663
74464,77,58,-662
74892,84,69,-665
75336,64,118,-384
75772,65,117,-374
76240,66,119,-437
76663,84,66,-662
77064,82,69,-664
77520,80,135,-416
77939,82,140,-386
78376,83,147,-427
78924,72,72,-663
79256,84,71,-661
79712,84,162,-459
80180,84,159,-379
80572,87,149,-413
80994,93,39,-664
81456,67,61,-662
81872,73,50,-664
82337,108,151,-479
82724,109,162,-501
83179,88,70,-665
83636,73,75,-662
84064,84,51,-663
84518,109,179,-506
84928,117,190,-456
85403,128,179,-551
85848,96,52,-664
86248,87,73,-663
86788,147,178,-427
87139,146,178,-394
87535,152,174,-418
88220,77,80,-661
88477,93,56,-664
88863,170,157,-404
89300,172,156,-334
89745,175,155,-361
90190,83,71,-661
90635,82,71,-661
91060,186,137,-481
91489,187,134,-301
91937,190,131,-308
92344,82,51,-659
92795,71,69,-664
93245,83,78,-662
93669,202,128,-291
94145,203,130,-278
94552,91,70,-660
94999,62,60,-664
95428,71,83,-663
95856,214,135,-300
96308,216,135,-274
96734,217,134,-333
97152,65,60,-664
97645,70,79,-662
98048,228,145,-323
98466,230,149,-270
98932,232,151,-266
99343,234,152,-276
99790,236,149,-269
100227,239,146,-286
100668,78,58,-664
101116,74,53,-661
101525,86,49,-663
101952,254,158,-348
102406,256,158,-268
102856,260,160,-264
103316,262,163,-280
103713,265,170,-277
104168,267,172,-246
104637,268,172,-292
105032,85,59,-664
105465,82,69,-661
105900,281,189,-325
106336,282,194,-245
106755,284,200,-281
107232,67,59,-663
107664,54,57,-664
108116,293,216,-482
108540,295,214,-268
108954,298,217,-276
109416,57,63,-665
109840,89,43,-662
110274,69,65,-660
110708,306,223,-280
111160,307,220,-264
111588,309,218,-533
112023,68,66,-663
112460,67,71,-662
112893,316,193,-297
113324,318,190,-276
113792,319,188,-333
114199,79,70,-664
114635,78,67,-666
115132,327,166,-335
115513,329,161,-298
115962,330,156,-325
116392,83,83,-663
116828,76,60,-664
117274,340,143,-456
117720,341,140,-345
118148,343,136,-368
118584,66,75,-663
119024,72,74,-666
119468,79,60,-661
119890,353,116,-400
120332,355,115,-404
120768,69,56,-663
121200,80,71,-662
121652,75,40,-663
122080,355,111,-403
122518,355,111,-380
122958,355,111,-455
123403,87,84,-662
123836,71,66,-662
124260,356,113,-440
124686,356,111,-391
125152,356,106,-375
125557,356,102,-373
126000,354,104,-383
126460,86,60,-665
126884,71,62,-664
127316,82,93,-665
127744,81,52,-662
128188,354,106,-396
128627,353,104,-382
129048,352,107,-375
129502,352,101,-423
129926,352,102,-353
130366,352,101,-393
130807,88,70,-662
131258,68,55,-663
131688,70,92,-662
132136,352,108,-379
132552,352,108,-383
133010,71,63,-666
133426,83,65,-662
133873,80,69,-664
134324,352,103,-390
134748,352,102,-375
135176,352,102,-529
135630,72,58,-663
136076,82,67,-662
136488,354,92,-416
136925,355,92,-390
137368,355,93,-449
137816,56,65,-664
138236,76,93,-664
138680,352,96,-431
139147,352,99,-364
139564,352,102,-404
139971,81,67,-664
140420,79,40,-664
140868,354,106,-509
141316,354,105,-390
141744,355,102,-409
142187,101,48,-664
142362,101,48,-664
