EpochTime,DOA,Confidence,Strength
3105,281,7,-666
3330,42,3,-670
16380,270,32,-662
16562,256,17,-664
17011,250,35,-659
17445,83,35,-664
17895,95,26,-663
18328,92,35,-662
18767,75,27,-664
19207,86,17,-662
19631,93,19,-664
20107,231,21,-662
20519,79,23,-661
20950,73,22,-661
21383,106,31,-660
21835,109,30,-662
22261,63,25,-663
22695,69,32,-662
23129,85,33,-664
23570,258,25,-662
24047,256,13,-665
24455,263,27,-657
24883,260,22,-660
25323,286,19,-663
25760,77,24,-661
26203,83,20,-660
26620,259,41,-663
27064,78,22,-662
27507,53,25,-664
27942,64,24,-664
28385,62,28,-665
28812,70,30,-661
29245,68,15,-664
29692,81,17,-662
30126,60,27,-660
30567,83,34,-661
31003,68,29,-664
31435,281,27,-662
31874,63,28,-660
32323,76,41,-665
32767,57,28,-663
33183,276,21,-662
33620,78,39,-659
34060,64,28,-663
34490,73,27,-664
34947,294,30,-663
35379,80,48,-663
35798,63,53,-665
36242,65,37,-663
36683,59,46,-666
37123,68,32,-665
37563,67,36,-664
38003,82,35,-662
38440,73,22,-660
38869,72,45,-659
39309,68,25,-661
39740,83,38,-661
40191,110,41,-663
40627,65,50,-664
41052,72,32,-665
41490,74,22,-659
41920,77,53,-659
42359,75,41,-664
42838,83,31,-663
43232,76,34,-661
43666,61,49,-664
44110,71,44,-664
44535,68,37,-663
44989,78,31,-664
45407,74,31,-664
45851,78,30,-663
46287,69,34,-663
46730,71,34,-663
47172,72,33,-664
47606,74,31,-664
48039,73,38,-662
48473,90,33,-664
48914,269,28,-661
49361,79,36,-663
49791,57,49,-665
50243,57,34,-663
50687,68,50,-661
51099,64,47,-664
51547,345,78,-450
51971,345,77,-413
52419,344,73,-411
52852,344,70,-412
53293,343,69,-411
53723,343,70,-411
54147,344,69,-410
54597,344,69,-410
55063,343,68,-409
55475,349,80,-414
55897,357,89,-424
56343,1,84,-449
56783,5,65,-485
57256,216,73,-509
57652,216,80,-522
58078,213,78,-521
58524,209,67,-527
58958,207,67,-527
59410,207,63,-527
59835,207,58,-528
60279,1,49,-522
60711,358,54,-509
61148,354,55,-495
61595,353,56,-495
62019,353,53,-496
62467,356,53,-502
62895,360,61,-501
63331,1,66,-501
63773,3,67,-500
64203,5,72,-499
64634,14,102,-495
