EpochTime,DOA,Confidence,Strength
2651,103,2,-670
2859,252,4,-668
22562,350,123,-437
22906,107,46,-658
23372,84,91,-661
23764,350,123,-429
24285,350,123,-377
24682,348,121,-431
25428,91,66,-663
25918,80,59,-662
26142,352,114,-468
26430,352,113,-376
26862,352,113,-397
27302,66,82,-664
27730,78,64,-659
28202,90,61,-661
28594,350,115,-382
29068,348,118,-400
29491,58,67,-657
29908,87,86,-660
30354,88,43,-662
30818,353,111,-399
31241,353,109,-381
31654,353,110,-466
32091,74,66,-662
32525,81,59,-660
32982,352,101,-397
33415,351,100,-362
33845,351,101,-405
34279,65,74,-663
34710,78,62,-662
35169,352,118,-450
35590,353,116,-372
36018,353,115,-394
36461,94,65,-662
36891,73,58,-662
37330,76,52,-663
37774,348,116,-355
38202,346,119,-359
38670,69,33,-662
39083,102,80,-660
39522,74,55,-664
39958,340,131,-350
40408,339,132,-325
40862,338,134,-455
41273,87,62,-662
41719,71,62,-660
42162,332,142,-335
42586,331,142,-299
43014,331,142,-366
43454,177,45,-662
43893,85,51,-658
44347,84,64,-665
44771,325,151,-322
45193,324,153,-279
45628,323,157,-273
46065,322,159,-321
46538,321,163,-260
46942,320,163,-261
47384,79,69,-663
47834,84,58,-661
48269,105,77,-660
48695,316,176,-259
49137,315,177,-241
49578,314,178,-322
50030,81,55,-662
50449,74,59,-661
50886,309,170,-272
51322,308,176,-232
51755,307,185,-272
52192,65,53,-662
52627,76,40,-661
53063,302,196,-304
53510,302,198,-219
53942,301,203,-244
54436,68,59,-664
54822,74,64,-662
55244,89,67,-660
55710,295,212,-209
56165,294,214,-215
56563,71,55,-662
57006,68,51,-659
57434,73,66,-659
57886,288,217,-215
58302,287,216,-200
58750,286,215,-322
59190,77,65,-659
59628,77,64,-661
60070,280,208,-222
60486,279,208,-194
60946,278,207,-243
61386,82,63,-662
61806,86,68,-660
62251,270,199,-244
62694,269,198,-188
63126,268,198,-223
63614,83,64,-661
64002,77,81,-661
64438,260,187,-331
64866,258,186,-186
65294,256,184,-197
65742,91,83,-664
66164,71,61,-661
66610,68,68,-659
67070,246,171,-193
67474,245,169,-179
67921,243,167,-187
68362,241,164,-184
68795,239,162,-187
69253,237,160,-195
69668,77,75,-663
70118,74,44,-664
70551,71,72,-661
70973,68,76,-661
71421,226,153,-206
71847,225,152,-199
72299,223,148,-200
72746,221,132,-264
73170,220,127,-184
73591,219,121,-208
74046,78,35,-662
74490,73,63,-660
74917,62,67,-661
75350,210,112,-193
75778,208,120,-199
76221,74,62,-660
76661,85,67,-660
77118,74,38,-660
77543,202,130,-222
77990,201,124,-205
78422,200,116,-331
78858,73,49,-661
79275,83,38,-660
79726,190,105,-258
80147,188,109,-224
80610,187,116,-274
81032,80,45,-661
81482,95,59,-660
81906,180,142,-302
82362,179,150,-243
82778,178,155,-283
83218,110,57,-661
83641,75,60,-661
84166,164,114,-423
84523,162,119,-281
84961,160,125,-293
85406,84,61,-662
85850,70,78,-660
86274,85,37,-663
86713,144,137,-330
87144,139,141,-329
87589,79,76,-659
88046,71,64,-661
88466,89,64,-659
88883,119,154,-418
89342,117,153,-422
89788,115,153,-519
90206,84,44,-660
90646,70,34,-663
91074,104,152,-463
91510,102,152,-393
91970,101,152,-422
92385,70,88,-663
92825,82,75,-659
93268,93,144,-427
93708,91,144,-319
94184,90,143,-331
94586,71,41,-657
95004,80,70,-662
95470,68,55,-665
95892,82,139,-302
96327,80,136,-290
96762,78,132,-294
97206,76,131,-317
97638,87,57,-663
98142,88,55,-661
98505,69,57,-662
98942,68,131,-345
99379,66,133,-301
99816,64,133,-302
100246,63,132,-332
100706,60,132,-311
101139,58,135,-297
101567,57,137,-361
101995,83,53,-662
102453,77,54,-662
102883,49,133,-387
103342,48,130,-340
103755,46,126,-380
104206,66,62,-660
104630,62,54,-661
105062,35,113,-497
105494,34,114,-388
105933,32,113,-415
106390,69,46,-662
106830,78,76,-660
107237,74,63,-662
107682,22,100,-467
108122,21,97,-465
108565,70,65,-658
109006,78,61,-661
109430,43,57,-662
109874,8,90,-489
110305,7,92,-468
110748,6,94,-543
111190,69,38,-662
111611,72,62,-662
112053,357,116,-457
112498,355,117,-401
112914,354,116,-431
113356,95,63,-660
113801,71,56,-662
114242,348,126,-434
114694,348,127,-345
115099,347,127,-365
115546,77,38,-659
115977,78,48,-662
116425,79,34,-659
116866,348,131,-355
117318,348,128,-365
117731,91,48,-660
118172,101,72,-659
118608,70,57,-661
119054,345,122,-365
119473,346,125,-349
119923,346,128,-463
120382,82,51,-664
120786,72,62,-663
121230,347,124,-408
121678,350,131,-401
122095,353,118,-487
122566,67,51,-662
122710,67,51,-662
