EpochTime,DOA,Confidence,Strength
2674,123,8,-666
3017,132,8,-668
17670,93,17,-656
17939,179,19,-656
18406,89,29,-656
18862,89,26,-656
19284,66,31,-657
19716,60,31,-657
20151,86,39,-657
20595,110,32,-654
21006,86,23,-657
21469,63,24,-658
21899,69,27,-657
22336,159,33,-660
22772,105,37,-657
23218,80,30,-657
23666,91,21,-658
24106,116,36,-659
24518,93,35,-657
24960,92,45,-654
25397,83,35,-656
25846,93,29,-656
26278,78,31,-658
26701,102,32,-656
27150,87,20,-653
27581,93,28,-658
28006,111,40,-657
28447,99,32,-656
28898,102,47,-658
29342,93,42,-656
29769,115,49,-657
30218,91,32,-656
30637,115,77,-453
31069,116,180,-384
31525,116,178,-352
31944,124,117,-353
32413,127,126,-359
32831,127,123,-362
33258,126,120,-362
33718,127,122,-363
34165,131,122,-371
34566,175,108,-410
35009,217,209,-479
35446,241,214,-445
35894,242,221,-407
36308,241,214,-393
36749,241,213,-391
37191,242,211,-394
37629,241,210,-397
38073,232,212,-410
38509,206,218,-436
38946,141,259,-404
39374,132,197,-367
39806,124,183,-342
40305,122,174,-336
40685,120,169,-342
41116,114,197,-356
41551,109,201,-365
42002,110,201,-365
42446,111,203,-365
42873,111,204,-366
43310,112,203,-364
43757,117,193,-355
44166,124,181,-376
44633,139,142,-412
45053,145,132,-414
45494,147,103,-423
45931,63,97,-469
46377,255,92,-543
46830,255,217,-478
47240,247,211,-413
47678,245,190,-385
48122,245,188,-376
48545,245,189,-374
48997,246,191,-374
49478,245,191,-371
49874,245,187,-358
50299,245,190,-351
50741,247,205,-352
51185,244,227,-369
51606,245,256,-392
52046,235,234,-401
52487,207,166,-378
52924,189,87,-346
53357,202,75,-333
53786,208,94,-341
54238,208,132,-364
54698,200,190,-379
55101,198,197,-376
55558,213,128,-369
55984,233,68,-367
56426,293,60,-370
56862,303,54,-404
57293,107,81,-501
57714,322,81,-554
58174,45,154,-517
58606,67,233,-446
59054,78,211,-420
59481,79,126,-376
59922,57,79,-370
60343,24,46,-385
60809,196,56,-391
61258,200,86,-390
61649,207,114,-428
62101,345,136,-541
62538,346,101,-455
62982,351,79,-428
63422,193,72,-406
63843,201,103,-403
64286,209,80,-407
64718,329,75,-398
65151,331,100,-385
65604,325,110,-384
66022,316,110,-385
66459,300,105,-401
66899,279,91,-416
67335,269,80,-431
67782,303,88,-420
68216,327,104,-385
68650,329,93,-376
69110,225,81,-394
69538,250,103,-410
69970,252,130,-398
70400,249,173,-385
70846,245,188,-374
71281,243,205,-367
71718,245,215,-365
72142,248,217,-366
72590,245,212,-375
73020,248,197,-391
73457,246,188,-398
73893,252,174,-399
74336,261,132,-398
74773,261,94,-387
75203,224,77,-382
75637,188,80,-393
76086,159,87,-405
76538,144,115,-418
76961,116,130,-423
77382,94,143,-421
77830,92,160,-417
78251,90,171,-413
78707,90,170,-409
79149,87,167,-405
79581,79,131,-417
80016,66,82,-438
80461,167,100,-441
80891,169,103,-445
81321,161,81,-451
81749,161,79,-452
82210,159,74,-455
82634,174,102,-436
83121,267,134,-389
83507,272,77,-357
83946,268,74,-354
84382,268,71,-361
84830,267,71,-375
85262,98,35,-659
85694,113,31,-657
86116,92,30,-660
86573,82,43,-655
86992,84,28,-654
87445,90,21,-658
87879,94,20,-657
88311,88,26,-658
88755,98,28,-660
89179,104,34,-657
89622,162,26,-659
90063,97,39,-658
90493,183,19,-656
90952,99,20,-658
91378,71,13,-657
91808,103,18,-656
92251,65,38,-659
92678,100,25,-658
93118,65,18,-658
93546,103,26,-659
93986,112,39,-658
94427,74,27,-658
94865,83,25,-658
95317,86,36,-659
95750,86,25,-659
96186,106,25,-658
96630,93,35,-659
97061,85,34,-660
97483,111,32,-656
97922,97,26,-655
98355,76,26,-656
98802,105,30,-655
99232,97,22,-659
99678,90,20,-656
100117,80,50,-656
100549,71,32,-657
100987,66,34,-654
101419,102,29,-653
101862,78,36,-658
102313,187,19,-657
102757,88,40,-654
102884,88,40,-654
